10

0	6469	7629	20036	4690	6194	11688	2243	8857	7248	
6469	0	12999	13692	3322	5576	3878	3202	6699	4198	
7629	12999	0	35135	5956	14121	5951	5768	16578	4242	
20036	13692	35135	0	19094	35119	21423	27342	51341	15826	
4690	3322	5956	19094	0	7284	3102	1562	7180	1917	
6194	5576	14121	35119	7284	0	5023	3512	10419	3543	
11688	3878	5951	21423	3102	5023	0	11557	6479	34261	
2243	3202	5768	27342	1562	3512	11557	0	5615	7095	
8857	6699	16578	51341	7180	10419	6479	5615	0	4448	
7248	4198	4242	15826	1917	3543	34261	7095	4448	0	

26304	71	99	23	63	72	48	430	54	76	
71	68268	22	35	103	44	246	375	48	236	
99	22	26029	19	100	31	207	244	29	302	
23	35	19	150779	10	7	29	26	3	47	
63	103	100	10	27293	24	204	553	26	367	
72	44	31	7	24	30202	160	277	7	249	
48	246	207	29	204	160	22009	45	121	5	
430	375	244	26	553	277	45	24301	162	98	
54	48	29	3	26	7	121	162	47326	196	
76	236	302	47	367	249	5	98	196	42040	

0	403	662	418	261	391	496	845	422	486	
403	0	258	429	300	219	837	1051	284	869	
662	258	0	600	524	389	1078	1235	434	1122	
418	429	600	0	178	217	552	634	165	652	
261	300	524	178	0	158	555	755	167	615	
391	219	389	217	158	0	706	851	65	773	
496	837	1078	552	555	706	0	464	688	154	
845	1051	1235	634	755	851	464	0	800	612	
422	284	434	165	167	65	688	800	0	766	
486	869	1122	652	615	773	154	612	766	0	

1
13986
478016

