10

0	6469	7629	20036	4690	6194	11688	2243	8857	7248	
6469	0	12999	13692	3322	5576	3878	3202	6699	4198	
7629	12999	0	35135	5956	14121	5951	5768	16578	4242	
20036	13692	35135	0	19094	35119	21423	27342	51341	15826	
4690	3322	5956	19094	0	7284	3102	1562	7180	1917	
6194	5576	14121	35119	7284	0	5023	3512	10419	3543	
11688	3878	5951	21423	3102	5023	0	11557	6479	34261	
2243	3202	5768	27342	1562	3512	11557	0	5615	7095	
8857	6699	16578	51341	7180	10419	6479	5615	0	4448	
7248	4198	4242	15826	1917	3543	34261	7095	4448	0	

26304	62	86	20	55	63	42	376	47	67	
62	68268	19	31	90	39	215	328	42	207	
86	19	26029	17	88	27	181	214	26	264	
20	31	17	150779	9	6	25	23	3	41	
55	90	88	9	27293	21	179	483	23	321	
63	39	27	6	21	30202	140	242	6	218	
42	215	181	25	179	140	22009	40	106	4	
376	328	214	23	483	242	40	24301	142	86	
47	42	26	3	23	6	106	142	47326	172	
67	207	264	41	321	218	4	86	172	42040	

0	519	851	538	336	503	638	1087	543	625	
519	0	332	551	386	281	1076	1351	365	1117	
851	332	0	772	674	500	1386	1588	558	1442	
538	551	772	0	229	279	710	816	213	838	
336	386	674	229	0	203	714	971	215	791	
503	281	500	279	203	0	908	1095	84	994	
638	1076	1386	710	714	908	0	597	884	198	
1087	1351	1588	816	971	1095	597	0	1029	787	
543	365	558	213	215	84	884	1029	0	985	
625	1117	1442	838	791	994	198	787	985	0	

1
9990
478016

