25

0	6469	7629	20036	4690	6194	11688	2243	8857	7248	3559	9221	10099	22866	3388	9986	46618	11639	1380	5261	5985	6731	2704	12250	16132	
6469	0	12999	13692	3322	5576	3878	3202	6699	4198	2454	7975	1186	7443	1162	5105	24817	6532	806	8184	3896	7333	3719	2015	565	
7629	12999	0	35135	5956	14121	5951	5768	16578	4242	3365	22254	1841	23665	6517	3541	205088	37669	2885	13200	7116	17165	4284	8085	51895	
20036	13692	35135	0	19094	35119	21423	27342	51341	15826	28537	65387	12980	44097	51525	14354	172895	37305	15418	26221	42303	35303	13618	17580	40708	
4690	3322	5956	19094	0	7284	3102	1562	7180	1917	2253	5951	1890	7097	2009	1340	25303	6031	1041	4128	5452	3344	1067	4608	7050	
6194	5576	14121	35119	7284	0	5023	3512	10419	3543	2752	14412	2043	15642	5014	2016	62034	15385	2957	5035	7482	6758	2191	6599	14181	
11688	3878	5951	21423	3102	5023	0	11557	6479	34261	10134	27350	6929	7961	4678	13511	29801	7549	5550	3089	9958	14110	4911	2722	10802	
2243	3202	5768	27342	1562	3512	11557	0	5615	7095	10753	30362	1783	3437	8897	2509	23273	5160	8750	2583	7288	17481	7930	1278	8447	
8857	6699	16578	51341	7180	10419	6479	5615	0	4448	5076	22463	4783	24609	9969	4224	79945	20001	4291	10604	11925	13091	4172	12891	19500	
7248	4198	4242	15826	1917	3543	34261	7095	4448	0	4370	17267	3929	8602	2753	20013	28080	5971	2131	3579	6809	8455	2868	2336	5616	
3559	2454	3365	28537	2253	2752	10134	10753	5076	4370	0	15287	3083	4092	7701	2809	17291	4462	3239	2309	16003	8381	3033	1755	7266	
9221	7975	22254	65387	5951	14412	27350	30362	22463	17267	15287	0	5454	15011	17714	10037	105507	20040	31780	10822	16450	92083	32908	3865	24583	
10099	1186	1841	12980	1890	2043	6929	1783	4783	3929	3083	5454	0	3251	1126	5926	10653	3062	759	1255	6173	2974	1056	1504	4588	
22866	7443	23665	44097	7097	15642	7961	3437	24609	8602	4092	15011	3251	0	5550	9473	169397	25073	1170	14272	8543	8064	1840	20618	20937	
3388	1162	6517	51525	2009	5014	4678	8897	9969	2753	7701	17714	1126	5550	0	2152	26816	6931	4947	2676	8033	12692	6157	3065	12044	
9986	5105	3541	14354	1340	2016	13511	2509	4224	20013	2809	10037	5926	9473	2152	0	21806	4519	886	1742	4782	6453	2022	3546	5065	
46618	24817	205088	172895	25303	62034	29801	23273	79945	28080	17291	105507	10653	169397	26816	21806	0	9040	11139	63153	34092	70935	14957	28398	166694	
11639	6532	37669	37305	6031	15385	7549	5160	20001	5971	4462	20040	3062	25073	6931	4519	9040	0	2802	30224	7982	14964	4589	6227	12359	
1380	806	2885	15418	1041	2957	5550	8750	4291	2131	3239	31780	759	1170	4947	886	11139	2802	0	1869	3716	11510	3519	569	3520	
5261	8184	13200	26221	4128	5035	3089	2583	10604	3579	2309	10822	1255	14272	2676	1742	63153	30224	1869	0	5020	6610	2139	5431	13541	
5985	3896	7116	42303	5452	7482	9958	7288	11925	6809	16003	16450	6173	8543	8033	4782	34092	7982	3716	5020	0	9942	3276	3820	11799	
6731	7333	17165	35303	3344	6758	14110	17481	13091	8455	8381	92083	2974	8064	12692	6453	70935	14964	11510	6610	9942	0	35285	2566	19926	
2704	3719	4284	13618	1067	2191	4911	7930	4172	2868	3033	32908	1056	1840	6157	2022	14957	4589	3519	2139	3276	35285	0	940	4951	
12250	2015	8085	17580	4608	6599	2722	1278	12891	2336	1755	3865	1504	20618	3065	3546	28398	6227	569	5431	3820	2566	940	0	6237	
16132	565	51895	40708	7050	14181	10802	8447	19500	5616	7266	24583	4588	20937	12044	5065	166694	12359	3520	13541	11799	19926	4951	6237	0	

26304	53	74	17	47	54	36	323	40	57	114	126	19	15	160	25	9	34	691	60	48	190	484	19	20	
53	68268	17	26	77	33	185	281	36	177	234	174	398	76	484	117	4	8	1488	15	113	200	377	251	38	
74	17	26029	14	75	23	155	183	22	226	223	70	370	32	103	231	0	4	478	22	87	94	350	88	4	
17	26	14	150779	8	5	22	19	2	35	8	15	22	16	4	34	2	10	56	9	3	31	76	34	8	
47	77	75	8	27293	18	153	414	19	275	141	190	127	80	178	313	13	50	905	37	33	365	1106	100	33	
54	33	23	5	18	30202	120	207	5	187	151	85	184	41	74	274	3	14	353	12	39	192	555	84	12	
36	185	155	22	153	120	22009	34	91	3	26	27	35	82	109	18	27	102	96	203	32	63	206	201	64	
323	281	183	19	414	207	34	24301	122	73	30	16	296	299	46	255	41	183	40	302	64	32	77	713	104	
40	36	22	2	19	5	91	122	47326	147	75	52	77	28	32	132	3	13	235	11	22	95	278	46	12	
57	177	226	35	275	187	3	73	147	42040	88	47	72	67	227	9	30	134	286	188	59	117	395	204	128	
114	234	223	8	141	151	26	30	75	88	20763	53	73	181	31	143	38	139	194	199	8	107	297	355	76	
126	174	70	15	190	85	27	16	52	47	53	61861	176	93	51	99	13	71	6	117	57	2	17	335	55	
19	398	370	22	127	184	35	296	77	72	73	176	47758	158	373	35	53	172	1000	311	24	364	1064	263	98	
15	76	32	16	80	41	82	299	28	67	181	93	158	30251	162	42	3	24	1014	42	74	192	888	5	26	
160	484	103	4	178	74	109	46	32	227	31	51	373	162	121893	289	22	85	155	163	33	75	136	256	45	
25	117	231	34	313	274	18	255	132	9	143	99	35	42	289	58558	32	145	883	316	75	178	620	83	114	
9	4	0	2	13	3	27	41	3	30	38	13	53	3	22	32	37699	5	115	3	15	21	96	21	0	
34	8	4	10	50	14	102	183	13	134	139	71	172	24	85	145	5	40891	445	5	61	101	312	89	6	
691	1488	478	56	905	353	96	40	235	286	194	6	1000	1014	155	883	115	445	55907	582	204	34	192	1898	335	
60	15	22	9	37	12	203	302	11	188	199	117	311	42	163	316	3	5	582	27419	65	204	597	96	8	
48	113	87	3	33	39	32	64	22	59	8	57	24	74	33	75	15	61	204	65	40332	104	313	136	35	
190	200	94	31	365	192	63	32	95	117	107	2	364	192	75	178	21	101	34	204	104	25441	11	562	73	
484	377	350	76	1106	555	206	77	278	395	297	17	1064	888	136	620	96	312	192	597	313	11	60610	1613	281	
19	251	88	34	100	84	201	713	46	204	355	335	263	5	256	83	21	89	1898	96	136	562	1613	26512	78	
20	38	4	8	33	12	64	104	12	128	76	55	98	26	45	114	0	6	335	8	35	73	281	78	33859	

0	346	567	358	224	336	425	724	362	417	408	1162	199	355	545	255	453	403	954	316	289	1284	1310	244	324	
346	0	222	367	257	187	717	901	243	745	576	1390	472	570	563	600	107	57	1200	126	441	1473	1404	506	21	
567	222	0	514	450	333	924	1059	372	961	750	1560	682	760	675	820	114	164	1379	296	625	1621	1502	713	243	
358	367	514	0	153	186	474	544	142	559	243	1045	291	712	207	498	432	405	868	242	153	1112	1039	603	355	
224	257	450	153	0	135	476	648	143	528	319	1134	241	568	359	420	346	307	942	153	184	1221	1180	465	239	
336	187	333	186	135	0	606	730	56	663	417	1228	376	651	375	553	245	219	1045	63	294	1299	1216	559	179	
425	717	924	474	476	606	0	398	589	132	268	750	246	658	511	254	817	773	537	629	322	896	1012	547	697	
724	901	1059	544	648	730	398	0	686	525	331	505	528	1029	416	640	975	945	355	781	468	573	615	911	885	
362	243	372	142	143	56	589	686	0	657	382	1187	372	691	321	561	294	271	1009	119	270	1252	1161	595	235	
417	745	961	559	528	663	132	525	657	0	385	825	286	578	627	183	850	802	610	675	406	990	1134	477	723	
408	576	750	243	319	417	268	331	382	385	0	814	227	741	243	404	658	623	629	460	137	903	902	623	559	
1162	1390	1560	1045	1134	1228	750	505	1187	825	814	0	964	1401	918	997	1471	1438	214	1275	949	217	592	1294	1373	
199	472	682	291	241	376	246	528	372	286	227	964	0	514	420	208	573	528	759	390	153	1085	1123	396	450	
355	570	760	712	568	651	658	1029	691	578	741	1401	514	0	900	405	658	613	1186	609	639	1554	1635	118	553	
545	563	675	207	359	375	511	416	321	627	243	918	420	900	0	624	610	592	768	436	270	954	840	786	553	
255	600	820	498	420	553	254	640	561	183	404	997	208	405	624	0	706	657	782	551	361	1150	1254	297	577	
453	107	114	432	346	245	817	975	294	850	658	1471	573	658	610	706	0	50	1286	197	528	1544	1449	604	129	
403	57	164	405	307	219	773	945	271	802	623	1438	528	613	592	657	50	0	1249	163	490	1516	1433	556	79	
954	1200	1379	868	942	1045	537	355	1009	610	629	214	759	1186	768	782	1286	1249	0	1089	758	397	677	1080	1181	
316	126	296	242	153	63	629	781	119	675	460	1275	390	609	436	551	197	163	1089	0	331	1351	1277	525	117	
289	441	625	153	184	294	322	468	270	406	137	949	153	639	270	361	528	490	758	331	0	1041	1027	523	424	
1284	1473	1621	1112	1221	1299	896	573	1252	990	903	217	1085	1554	954	1150	1544	1516	397	1351	1041	0	417	1443	1458	
1310	1404	1502	1039	1180	1216	1012	615	1161	1134	902	592	1123	1635	840	1254	1449	1433	677	1277	1027	417	0	1516	1393	
244	506	713	603	465	559	547	911	595	477	623	1294	396	118	786	297	604	556	1080	525	523	1443	1516	0	488	
324	21	243	355	239	179	697	885	235	723	559	1373	450	553	553	577	129	79	1181	117	424	1458	1393	488	0	

1
27328
2895464

