10

0	6469	7629	20036	4690	6194	11688	2243	8857	7248	
6469	0	12999	13692	3322	5576	3878	3202	6699	4198	
7629	12999	0	35135	5956	14121	5951	5768	16578	4242	
20036	13692	35135	0	19094	35119	21423	27342	51341	15826	
4690	3322	5956	19094	0	7284	3102	1562	7180	1917	
6194	5576	14121	35119	7284	0	5023	3512	10419	3543	
11688	3878	5951	21423	3102	5023	0	11557	6479	34261	
2243	3202	5768	27342	1562	3512	11557	0	5615	7095	
8857	6699	16578	51341	7180	10419	6479	5615	0	4448	
7248	4198	4242	15826	1917	3543	34261	7095	4448	0	

26304	53	74	17	47	54	36	323	40	57	
53	68268	17	26	77	33	185	281	36	177	
74	17	26029	14	75	23	155	183	22	226	
17	26	14	150779	8	5	22	19	2	35	
47	77	75	8	27293	18	153	414	19	275	
54	33	23	5	18	30202	120	207	5	187	
36	185	155	22	153	120	22009	34	91	3	
323	281	183	19	414	207	34	24301	122	73	
40	36	22	2	19	5	91	122	47326	147	
57	177	226	35	275	187	3	73	147	42040	

0	230	378	239	149	224	283	483	241	278	
230	0	148	245	171	125	478	600	162	496	
378	148	0	343	300	222	616	706	248	641	
239	245	343	0	102	124	316	362	94	372	
149	171	300	102	0	90	317	432	95	352	
224	125	222	124	90	0	404	486	37	442	
283	478	616	316	317	404	0	265	393	88	
483	600	706	362	432	486	265	0	457	350	
241	162	248	94	95	37	393	457	0	438	
278	496	641	372	352	442	88	350	438	0	

1
11988
478016

